seriesId,genreId
ts279807,1
ts279807,2
ts57118,1
ts358688,1
ts358688,3
ts358688,4
ts41351,5
ts41351,6
ts41351,1
ts20995,1
ts20995,2
ts6495,2
ts6495,1
ts6495,3
ts287292,3
ts287292,1
ts287292,7
ts287292,5
ts76876,1
ts76876,2
ts76876,6
ts76876,3
ts106330,1
ts106330,8
ts106330,9
ts106330,10
ts131317,1
ts131317,4
ts131317,3
ts8345,3
ts8345,2
ts8345,1
ts314106,1
ts314106,4
ts88862,11
ts88862,12
ts9245,4
ts410846,5
ts410846,13
ts410846,6
ts410846,14
ts354573,1
ts354573,3
ts354573,2
ts267911,1
ts267911,2
ts218144,2
ts218144,1
ts227860,2
ts227860,1
ts227860,3
ts22280,1
ts22280,3
ts375565,3
ts375565,6
ts226904,1
ts226904,3
ts226904,6
ts226904,7
ts226904,5
ts20233,5
ts20233,6
ts20233,13
ts20233,4
ts8308,4
ts21408,1
ts21408,3
ts21408,2
ts288175,13
ts288175,4
ts269167,15
ts269167,3
ts269167,1
ts379172,3
ts379172,2
ts379172,1
ts271787,1
ts271787,4
ts271787,9
ts237713,5
ts237713,1
ts237713,16
ts237713,6
ts85167,4
ts85167,16
ts85167,7
ts21792,4
ts21792,13
ts20386,1
ts20386,3
ts20386,2
ts376864,3
ts376864,2
ts376864,1
ts260403,5
ts260403,6
ts260403,1
ts260403,7
ts285617,4
ts285617,1
ts285617,10
ts224255,2
ts224255,3
ts224255,1
ts22013,1
ts20420,1
ts6683,5
ts6683,6
ts6683,1
ts20605,4
ts20605,1
ts20605,10
ts22047,2
ts22047,1
ts22047,3
ts341651,6
ts341651,5
ts341651,1
ts341651,7
ts341651,3
ts287734,4
ts287734,17
ts22138,4
ts20836,1
ts20836,5
ts20836,3
ts53559,5
ts53559,1
ts53559,3
ts28193,1
ts28193,2
ts21650,11
ts21650,2
ts224087,4
ts224087,1
ts224087,18
ts386368,3
ts386368,1
ts386368,9
ts41331,8
ts41331,1
ts41331,3
ts41331,6
ts364001,1
ts364001,9
ts364001,3
ts81294,5
ts81294,3
ts81294,1
ts21848,6
ts21848,5
ts21848,3
ts21848,1
ts21848,16
ts6410,5
ts6410,6
ts6410,1
ts21465,1
ts21465,5
ts21465,3
ts21465,16
ts21465,7
ts77979,1
ts77979,4
ts304703,1
ts304703,6
ts304703,2
ts304703,3
ts22337,2
ts22337,1
ts22337,6
ts22337,3
ts3630,6
ts3630,1
ts314375,2
ts314375,1
ts314375,3
ts314375,6
ts10620,2
ts10620,1
ts10620,3
ts82916,2
ts82916,1
ts87959,1
ts87959,2
ts87959,3
ts320458,1
ts320458,5
ts320458,3
ts20567,1
ts20567,19
ts256052,4
ts256052,1
ts256052,3
ts20425,4
ts4,1
ts4,2
ts4,3
ts74799,1
ts74799,4
ts74799,6
ts74799,2
ts196,6
ts196,1
ts435043,2
ts435043,1
ts297178,1
ts297178,5
ts35476,1
ts35476,2
ts35476,3
ts22060,4
ts22060,1
ts22060,10
ts36000,6
ts36000,1
ts36000,7
ts36000,5
ts36000,3
ts3447,1
ts3447,2
ts3447,6
ts3447,3
ts228068,1
ts228068,7
ts228068,3
ts88632,1
ts88632,9
ts88632,3
