seriesId,platformId,platformUrl
1ef30d3f-5acc-60c5-a854-47ef61b7f676,3,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.6ab33cd1-e096-852b-081d-fbbaf494296f
1ef30d3f-5acc-60c5-a854-47ef61b7f676,5,https://www.skystore.com/product/9-1-1-season-1/2b05dfc8-8a28-46fe-b5f3-1d02d86134c2
1ef30d3f-68be-6ff8-a78b-37d8860d46c6,11,https://www.sky.com/watch/sky-go/all?uuid=621be9bc-1bc2-37e8-90c6-e3ba725804d6&videoId=10164737
1ef30d3f-68be-6ff8-a78b-37d8860d46c6,2,https://www.nowtv.com/watch/the-tattooist-of-auschwitz/iYEQZ2rcf32XRKq3ZCCMP7/seasons/1/episodes/1/A5EK65Bcwd6NEj7qrPCgA
1ef30d3f-743a-69ec-8963-1beeeb0c40e8,15,https://tv.apple.com/gb/episode/failures-contagious/umc.cmc.72legmwolm5ytctyq637r6x0?at=1000l3V2&ct=app_tvplus&itscg=30200&itsct=justwatch_tv_12&playableId=tvs.sbd.4000%3AA0006401001&showId=umc.cmc.2szz3fdt71tl1ulnbp8utgq5o
1ef30d3f-7e39-64ff-a67a-16291cf67a25,16,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.fca9f664-7dfe-eb01-3433-333a7ac495ff
1ef30d3f-7e39-64ff-a67a-16291cf67a25,4,https://tv.apple.com/gb/show/fargo/umc.cmc.2zs573npbhr5fessb48q5zjfe?at=1000l3V2&ct=app_tv&itscg=30200&itsct=justwatch_tv_12
1ef30d3f-7e39-64ff-a67a-16291cf67a25,5,https://www.skystore.com/product/fargo-season-1/e50109be-bd57-431b-af5c-953374fe5634
1ef30d3f-7e39-64ff-a67a-16291cf67a25,6,https://www.microsoft.com/en-gb/p/series-1/8d6kgwzmtn4q
1ef30d3f-89b9-67ad-b5ca-558770489802,1,https://disneyplus.bn5x.net/c/1206980/705874/9358?u=https%3A%2F%2Fwww.disneyplus.com%2Fseries%2Fthe-bear%2F52m6nx7HoP5F&subId3=justappsvod
